idx	op_type	name	inputs	outputs
87	Mul	/decoder/convnext.4/Mul	['tts.ae.decoder.convnext.4.gamma', '/decoder/convnext.4/pwconv2/Conv_output_0']	['/decoder/convnext.4/Mul_output_0']
88	Add	/decoder/convnext.4/Add	['/decoder/convnext.3/Add_output_0', '/decoder/convnext.4/Mul_output_0']	['/decoder/convnext.4/Add_output_0']
89	Pad	/decoder/convnext.5/dwconv/Pad	['/decoder/convnext.4/Add_output_0', '/decoder/convnext.2/dwconv/Cast_output_0']	['/decoder/convnext.5/dwconv/Pad_output_0']
90	Conv	/decoder/convnext.5/dwconv/net/Conv	['/decoder/convnext.5/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.5.dwconv.net.weight', 'tts.ae.decoder.convnext.5.dwconv.net.bias']	['/decoder/convnext.5/dwconv/net/Conv_output_0']
91	Transpose	/decoder/convnext.5/norm/Transpose	['/decoder/convnext.5/dwconv/net/Conv_output_0']	['/decoder/convnext.5/norm/Transpose_output_0']
92	LayerNormalization	/decoder/convnext.5/norm/norm/LayerNormalization	['/decoder/convnext.5/norm/Transpose_output_0', 'tts.ae.decoder.convnext.5.norm.norm.weight', 'tts.ae.decoder.convnext.5.norm.norm.bias']	['/decoder/convnext.5/norm/norm/LayerNormalization_output_0']
93	Transpose	/decoder/convnext.5/norm/Transpose_1	['/decoder/convnext.5/norm/norm/LayerNormalization_output_0']	['/decoder/convnext.5/norm/Transpose_1_output_0']
94	Conv	/decoder/convnext.5/pwconv1/Conv	['/decoder/convnext.5/norm/Transpose_1_output_0', 'tts.ae.decoder.convnext.5.pwconv1.weight', 'tts.ae.decoder.convnext.5.pwconv1.bias']	['/decoder/convnext.5/pwconv1/Conv_output_0']
95	Div	/decoder/convnext.5/act/Div	['/decoder/convnext.5/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.5/act/Div_output_0']
96	Erf	/decoder/convnext.5/act/Erf	['/decoder/convnext.5/act/Div_output_0']	['/decoder/convnext.5/act/Erf_output_0']
97	Add	/decoder/convnext.5/act/Add	['/decoder/convnext.5/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.5/act/Add_output_0']
98	Mul	/decoder/convnext.5/act/Mul	['/decoder/convnext.5/pwconv1/Conv_output_0', '/decoder/convnext.5/act/Add_output_0']	['/decoder/convnext.5/act/Mul_output_0']
99	Mul	/decoder/convnext.5/act/Mul_1	['/decoder/convnext.5/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.5/act/Mul_1_output_0']
100	Conv	/decoder/convnext.5/pwconv2/Conv	['/decoder/convnext.5/act/Mul_1_output_0', 'tts.ae.decoder.convnext.5.pwconv2.weight', 'tts.ae.decoder.convnext.5.pwconv2.bias']	['/decoder/convnext.5/pwconv2/Conv_output_0']
101	Mul	/decoder/convnext.5/Mul	['tts.ae.decoder.convnext.5.gamma', '/decoder/convnext.5/pwconv2/Conv_output_0']	['/decoder/convnext.5/Mul_output_0']
102	Add	/decoder/convnext.5/Add	['/decoder/convnext.4/Add_output_0', '/decoder/convnext.5/Mul_output_0']	['/decoder/convnext.5/Add_output_0']
103	Pad	/decoder/convnext.6/dwconv/Pad	['/decoder/convnext.5/Add_output_0', '/decoder/embed/Cast_output_0']	['/decoder/convnext.6/dwconv/Pad_output_0']
104	Conv	/decoder/convnext.6/dwconv/net/Conv	['/decoder/convnext.6/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.6.dwconv.net.weight', 'tts.ae.decoder.convnext.6.dwconv.net.bias']	['/decoder/convnext.6/dwconv/net/Conv_output_0']
105	Transpose	/decoder/convnext.6/norm/Transpose	['/decoder/convnext.6/dwconv/net/Conv_output_0']	['/decoder/convnext.6/norm/Transpose_output_0']
106	LayerNormalization	/decoder/convnext.6/norm/norm/LayerNormalization	['/decoder/convnext.6/norm/Transpose_output_0', 'tts.ae.decoder.convnext.6.norm.norm.weight', 'tts.ae.decoder.convnext.6.norm.norm.bias']	['/decoder/convnext.6/norm/norm/LayerNormalization_output_0']
107	Transpose	/decoder/convnext.6/norm/Transpose_1	['/decoder/convnext.6/norm/norm/LayerNormalization_output_0']	['/decoder/convnext.6/norm/Transpose_1_output_0']
108	Conv	/decoder/convnext.6/pwconv1/Conv	['/decoder/convnext.6/norm/Transpose_1_output_0', 'tts.ae.decoder.convnext.6.pwconv1.weight', 'tts.ae.decoder.convnext.6.pwconv1.bias']	['/decoder/convnext.6/pwconv1/Conv_output_0']
109	Div	/decoder/convnext.6/act/Div	['/decoder/convnext.6/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.6/act/Div_output_0']
110	Erf	/decoder/convnext.6/act/Erf	['/decoder/convnext.6/act/Div_output_0']	['/decoder/convnext.6/act/Erf_output_0']
111	Add	/decoder/convnext.6/act/Add	['/decoder/convnext.6/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.6/act/Add_output_0']
112	Mul	/decoder/convnext.6/act/Mul	['/decoder/convnext.6/pwconv1/Conv_output_0', '/decoder/convnext.6/act/Add_output_0']	['/decoder/convnext.6/act/Mul_output_0']
113	Mul	/decoder/convnext.6/act/Mul_1	['/decoder/convnext.6/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.6/act/Mul_1_output_0']
114	Conv	/decoder/convnext.6/pwconv2/Conv	['/decoder/convnext.6/act/Mul_1_output_0', 'tts.ae.decoder.convnext.6.pwconv2.weight', 'tts.ae.decoder.convnext.6.pwconv2.bias']	['/decoder/convnext.6/pwconv2/Conv_output_0']
115	Mul	/decoder/convnext.6/Mul	['tts.ae.decoder.convnext.6.gamma', '/decoder/convnext.6/pwconv2/Conv_output_0']	['/decoder/convnext.6/Mul_output_0']
116	Add	/decoder/convnext.6/Add	['/decoder/convnext.5/Add_output_0', '/decoder/convnext.6/Mul_output_0']	['/decoder/convnext.6/Add_output_0']
117	Pad	/decoder/convnext.7/dwconv/Pad	['/decoder/convnext.6/Add_output_0', '/decoder/embed/Cast_output_0']	['/decoder/convnext.7/dwconv/Pad_output_0']
118	Conv	/decoder/convnext.7/dwconv/net/Conv	['/decoder/convnext.7/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.7.dwconv.net.weight', 'tts.ae.decoder.convnext.7.dwconv.net.bias']	['/decoder/convnext.7/dwconv/net/Conv_output_0']
119	Transpose	/decoder/convnext.7/norm/Transpose	['/decoder/convnext.7/dwconv/net/Conv_output_0']	['/decoder/convnext.7/norm/Transpose_output_0']
120	LayerNormalization	/decoder/convnext.7/norm/norm/LayerNormalization	['/decoder/convnext.7/norm/Transpose_output_0', 'tts.ae.decoder.convnext.7.norm.norm.weight', 'tts.ae.decoder.convnext.7.norm.norm.bias']	['/decoder/convnext.7/norm/norm/LayerNormalization_output_0']
121	Transpose	/decoder/convnext.7/norm/Transpose_1	['/decoder/convnext.7/norm/norm/LayerNormalization_output_0']	['/decoder/convnext.7/norm/Transpose_1_output_0']
